"z000001a","t","wave","year","cohort","sex","yob","hle","pinc","hhinc","marstat","z000002a","jczf001a","jczf002a","jczf003a","jczf004a","jczf005a","jczf006a","jczf007a","jazc039a","jczq009a","jczf030a","jczf031a","jczf032a","jczf033a","jczf034a","jczf035a","jczf036a","jczf037a","jczf038a","jczf039a","jczj074a","jczj075a","jczj079a","jcdu080a","jcdu081a","jcdu082a","jcct087a"
586158402,59,"jc",2022,1,"2",1962,"7",6,7,"2","ZA5665","1","1","1","1","2","1","2","1","4","0","0","0","0","0","0","1","0","0","0","3","3","3","2","2","1","2"
506037403,59,"jc",2022,3,"1",1952,"6",12,5,"5","ZA5665","1","1","1","2","4","4","3","98","4","0","0","0","0","0","0","1","0","0","0","3","3","4","3","98","2","2"
237061904,59,"jc",2022,2,"2",1985,"5",7,5,"1","ZA5665","1","1","1","4","4","4","1","1","4","1","0","1","0","0","0","1","1","1","0","4","3","3","2","2","1","3"
777511302,59,"jc",2022,1,"2",1970,"7",12,9,"2","ZA5665","3","4","1","2","4","1","3","3",NA,"1","0","0","0","0","0","1","0","0","0","4","3",NA,"1","98","2","2"
492976901,59,"jc",2022,2,"2",1943,"4",3,98,"5","ZA5665","1","4","1","1","3","4","5","3","3","0","0","0","0","0","0","0","0","0","0","3","3","2","3","2","2","3"
901777702,59,"jc",2022,1,"2",1956,"5",9,5,"2","ZA5665","2","2","2","4","4","1","3","98","4","0","0","0","1","0","0","1","1","0","0","3","4","5","3","2","1","2"
740289801,59,"jc",2022,1,"1",1953,"5",4,3,"2","ZA5665","2","3","3","1","3","5","3","2","4","0","0","0","0","0","0","1","0","0","0","5","4","5","2","3","1","2"
474646701,59,"jc",2022,1,"2",1966,"7",13,9,"1","ZA5665","1","1","2","4","5","1","2",NA,"4","0","0","0","0","0","0","1","0","0","0","4","3","4","2","2","1","2"
509690702,59,"jc",2022,4,"1",1994,"7",12,9,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486029701,59,"jc",2022,3,"2",1961,"4",5,5,"2","ZA5665",NA,NA,NA,NA,NA,NA,NA,"2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3","3","3","2","2","3"
414640102,59,"jc",2022,2,"1",1962,"4",15,9,"2","ZA5665","1","1","1","2","4","4","97","3","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"5","2","1","1","3"
